TS,clientId,opType,key,value
1529580868417,0,INC,8,7
1529580868417,1,DEC,10,1
1529580868467,2,DEC,8,7
1529580868481,4,INC,10,7
1529580868481,3,DEC,7,9
1529580868487,1,INC,8,6
1529580868489,0,DEC,8,9
1529580868520,2,DEC,7,8
1529580868538,3,INC,8,8
1529580868541,0,DEC,7,4
1529580868575,2,INC,7,3
1529580868575,1,DEC,8,8
1529580868576,4,DEC,7,8
1529580868601,0,INC,8,7
1529580868607,3,DEC,8,10
1529580868631,4,INC,10,10
1529580868643,1,INC,10,7
1529580868664,0,DEC,8,10
1529580868672,3,DEC,8,10
1529580868672,2,INC,10,7
1529580868687,4,INC,8,7
1529580868698,1,DEC,10,8
1529580868724,0,INC,8,8
1529580868746,4,DEC,8,10
1529580868752,3,DEC,9,8
1529580868760,1,DEC,10,7
1529580868777,2,DEC,7,9
1529580868797,0,INC,8,10
1529580868818,3,DEC,7,0
1529580868825,4,INC,7,8
1529580868834,1,DEC,8,8
1529580868864,2,INC,8,7
1529580868874,3,INC,8,8
1529580868881,4,INC,7,7
1529580868902,0,INC,8,10
1529580868904,1,DEC,8,8
1529580868949,3,INC,10,7
1529580868949,2,DEC,7,7
1529580868950,4,INC,8,10
1529580868977,0,INC,7,8
1529580868980,1,INC,7,7
1529580869007,3,INC,9,7
1529580869007,2,DEC,7,2
1529580869038,1,INC,1,10
1529580869040,4,INC,8,8
1529580869061,0,DEC,8,8
1529580869098,3,INC,7,10
1529580869100,2,DEC,7,8
1529580869117,4,DEC,7,8
1529580869126,0,INC,8,10
1529580869138,1,DEC,7,10
1529580869168,2,DEC,10,10
1529580869190,3,DEC,8,9
1529580869207,4,INC,8,10
1529580869219,0,INC,9,9
1529580869234,1,INC,7,9
1529580869249,2,INC,9,8
1529580869278,0,DEC,7,10
1529580869282,4,INC,7,7
1529580869289,3,INC,7,10
1529580869296,1,DEC,10,8
1529580869316,2,INC,10,4
1529580869336,4,DEC,8,10
1529580869378,0,INC,7,10
1529580869378,1,INC,10,7
1529580869379,3,INC,9,10
1529580869388,2,INC,10,10
1529580869389,4,INC,8,8
1529580869437,3,DEC,6,3
1529580869437,0,DEC,8,9
1529580869442,4,INC,9,9
1529580869456,2,INC,3,10
1529580869461,1,INC,9,9
1529580869496,0,INC,0,10
1529580869505,3,DEC,7,10
1529580869509,2,DEC,9,8
1529580869543,4,DEC,9,8
1529580869555,1,DEC,9,9
1529580869567,3,DEC,8,8
1529580869588,2,INC,10,10
1529580869595,0,INC,3,8
1529580869619,4,DEC,9,7
1529580869619,1,INC,10,7
1529580869633,3,DEC,10,9
1529580869679,2,INC,7,5
1529580869687,0,INC,8,1
1529580869705,4,INC,7,9
1529580869714,1,DEC,8,1
1529580869717,3,DEC,8,7
1529580869764,4,DEC,7,8
1529580869765,0,INC,10,10
1529580869782,2,INC,9,9
1529580869788,3,INC,9,10
1529580869797,1,INC,10,9
1529580869850,0,DEC,7,9
1529580869853,4,DEC,9,8
1529580869867,3,DEC,10,7
1529580869869,1,DEC,10,9
1529580869879,2,DEC,7,7
1529580869911,0,INC,9,9
1529580869935,4,DEC,9,8
1529580869941,3,INC,8,10
1529580869945,1,DEC,7,10
1529580869975,2,INC,9,7
1529580869997,1,INC,10,9
1529580870010,0,DEC,10,10
1529580870033,4,DEC,9,9
1529580870036,2,INC,10,9
1529580870041,3,DEC,8,0
1529580870074,1,DEC,8,7
1529580870078,0,INC,8,10
1529580870124,2,INC,9,10
1529580870129,3,DEC,10,10
1529580870135,4,INC,9,6
1529580870145,0,INC,6,10
1529580870177,1,DEC,8,9
1529580870179,2,DEC,10,0
1529580870201,4,INC,9,10
1529580870215,3,DEC,7,10
1529580870225,0,INC,9,9
1529580870243,2,DEC,1,5
1529580870268,1,INC,7,10
1529580870268,4,DEC,9,9
1529580870299,3,DEC,7,9
1529580870328,0,INC,9,9
1529580870339,2,DEC,9,7
1529580870350,1,DEC,7,8
1529580870356,4,DEC,10,9
1529580870361,3,DEC,7,0
1529580870418,1,DEC,9,9
1529580870423,0,DEC,10,10
1529580870442,3,DEC,8,9
1529580870442,2,INC,4,7
1529580870456,4,DEC,0,9
1529580870508,1,INC,9,8
1529580870509,2,INC,8,10
1529580870513,0,DEC,10,10
1529580870523,4,INC,1,4
1529580870536,3,INC,8,7
1529580870579,1,DEC,9,9
1529580870587,4,INC,0,7
1529580870588,3,DEC,9,8
1529580870606,2,INC,8,8
1529580870613,0,INC,9,9
1529580870651,1,DEC,6,7
1529580870660,3,DEC,9,7
1529580870684,0,INC,8,9
1529580870687,2,DEC,8,9
1529580870687,4,DEC,8,7
1529580870730,1,INC,9,8
1529580870747,4,DEC,10,7
1529580870752,3,DEC,10,9
1529580870769,2,INC,9,10
1529580870769,0,INC,7,8
1529580870827,0,DEC,7,7
1529580870828,1,INC,10,3
1529580870832,4,INC,10,7
1529580870836,2,INC,4,10
1529580870851,3,INC,8,10
1529580870885,1,INC,9,9
1529580870919,4,INC,10,10
1529580870922,0,INC,9,7
1529580870933,2,DEC,9,7
1529580870937,3,INC,9,10
1529580870945,1,INC,7,7
1529580870993,4,DEC,9,10
1529580871004,3,INC,7,9
1529580871021,1,INC,9,7
1529580871021,0,DEC,9,7
1529580871028,2,DEC,10,7
1529580871057,4,DEC,8,2
1529580871064,3,DEC,9,10
1529580871100,1,INC,8,7
1529580871106,2,DEC,8,10
1529580871116,4,INC,9,7
1529580871119,0,DEC,8,10
1529580871153,3,DEC,9,10
1529580871187,0,DEC,7,8
1529580871192,1,INC,8,9
1529580871197,4,DEC,8,10
1529580871209,2,INC,10,10
1529580871243,3,DEC,9,9
1529580871256,0,DEC,5,10
1529580871259,1,DEC,8,7
1529580871259,4,DEC,10,7
1529580871280,2,DEC,9,9
1529580871332,3,DEC,9,10
1529580871338,0,DEC,7,2
1529580871347,1,DEC,9,9
1529580871359,4,INC,9,3
1529580871381,2,INC,8,7
1529580871395,3,INC,8,9
1529580871395,0,INC,8,9
1529580871400,1,INC,9,10
1529580871428,4,INC,8,4
1529580871451,3,DEC,10,10
1529580871465,2,DEC,10,10
1529580871469,1,INC,10,8
1529580871484,0,INC,9,9
1529580871496,4,INC,4,9
1529580871543,2,DEC,9,10
1529580871549,3,DEC,10,10
1529580871549,0,INC,8,8
1529580871550,4,INC,8,9
1529580871564,1,DEC,8,10
1529580871607,3,INC,9,10
1529580871612,4,DEC,10,9
1529580871617,2,INC,9,8
1529580871628,0,DEC,9,10
1529580871632,1,DEC,10,7
1529580871678,4,INC,10,7
1529580871687,3,DEC,10,10
1529580871689,0,INC,9,8
1529580871701,1,INC,10,10
1529580871701,2,INC,7,9
1529580871738,4,DEC,1,7
1529580871766,3,INC,10,10
1529580871773,0,DEC,3,8
1529580871775,1,DEC,8,10
1529580871802,2,DEC,10,7
1529580871814,4,INC,7,7
1529580871844,0,INC,10,7
1529580871851,3,INC,7,8
1529580871863,2,INC,8,10
1529580871871,1,DEC,10,9
1529580871892,4,INC,8,10
1529580871910,3,INC,9,7
1529580871910,0,DEC,7,10
1529580871938,2,DEC,10,8
1529580871961,1,INC,7,7
1529580871961,4,INC,6,7
1529580871971,3,DEC,8,10
1529580871993,0,DEC,8,3
1529580872013,2,DEC,5,7
1529580872033,4,DEC,7,9
1529580872036,3,DEC,10,10
1529580872062,1,DEC,7,0
1529580872087,4,INC,7,9
1529580872087,0,DEC,7,9
1529580872103,2,INC,9,8
1529580872124,1,DEC,8,10
1529580872135,3,INC,10,7
1529580872168,0,INC,7,6
1529580872175,4,DEC,10,9
1529580872202,2,INC,8,4
1529580872209,3,INC,8,8
1529580872224,1,INC,8,10
1529580872238,4,INC,9,9
1529580872262,0,DEC,8,5
1529580872289,2,INC,10,7
1529580872294,3,DEC,0,7
1529580872313,4,DEC,10,8
1529580872315,1,INC,8,7
1529580872321,0,INC,9,7
1529580872359,2,INC,8,9
1529580872375,3,INC,10,8
1529580872387,4,INC,10,10
1529580872400,1,DEC,9,8
1529580872404,0,DEC,8,8
1529580872436,3,INC,7,7
1529580872439,2,DEC,10,10
1529580872458,0,INC,10,5
1529580872460,4,INC,7,9
1529580872476,1,INC,7,10
1529580872495,3,INC,10,10
1529580872514,0,DEC,8,9
1529580872515,2,DEC,5,8
1529580872544,4,DEC,10,9
1529580872551,1,INC,10,10
1529580872564,3,DEC,8,8
1529580872567,2,DEC,0,8
1529580872609,0,INC,9,10
1529580872626,1,DEC,10,10
1529580872626,2,INC,7,8
1529580872626,4,DEC,8,8
1529580872638,3,DEC,8,6
1529580872682,2,DEC,7,7
1529580872695,4,DEC,8,9
1529580872696,0,DEC,10,9
1529580872701,3,INC,7,10
1529580872710,1,INC,9,3
1529580872746,2,INC,10,8
1529580872748,0,DEC,7,7
1529580872777,1,DEC,7,7
1529580872777,3,DEC,10,4
1529580872788,4,INC,8,7
1529580872817,2,DEC,7,8
1529580872825,0,DEC,7,8
1529580872840,3,INC,8,7
1529580872876,1,INC,9,9
1529580872877,4,DEC,8,8
1529580872883,2,DEC,7,6
1529580872893,0,INC,9,7
1529580872918,3,DEC,6,10
1529580872951,2,DEC,9,7
1529580872953,1,INC,9,10
1529580872968,4,DEC,9,7
1529580872970,0,DEC,9,8
1529580872971,3,DEC,7,10
1529580873027,3,DEC,7,9
1529580873029,2,INC,7,7
1529580873029,4,DEC,10,10
1529580873030,0,DEC,8,7
1529580873045,1,INC,8,1
1529580873088,0,DEC,10,10
1529580873099,4,DEC,2,10
1529580873105,1,DEC,9,7
1529580873107,2,INC,8,7
1529580873109,3,INC,7,7
1529580873168,1,INC,7,9
1529580873184,0,DEC,4,10
1529580873189,4,DEC,1,9
1529580873195,2,INC,10,7
1529580873205,3,INC,9,8
1529580873227,1,DEC,7,8
1529580873252,2,DEC,10,10
1529580873261,0,INC,8,7
1529580873267,4,INC,10,7
1529580873288,3,INC,10,9
1529580873299,1,DEC,7,7
1529580873328,0,DEC,5,9
1529580873333,2,DEC,8,8
1529580873340,4,DEC,10,8
1529580873367,3,INC,7,10
1529580873398,1,INC,7,7
1529580873404,0,INC,7,7
1529580873404,4,INC,8,7
1529580873410,2,DEC,7,10
1529580873461,1,INC,9,10
1529580873462,0,INC,9,3
1529580873462,4,DEC,7,7
1529580873467,3,DEC,9,9
1529580873479,2,DEC,8,7
1529580873527,3,INC,8,9
1529580873542,1,INC,10,8
1529580873545,4,INC,9,9
1529580873552,2,DEC,8,7
1529580873558,0,DEC,10,8
1529580873601,1,DEC,7,10
1529580873611,2,DEC,9,10
1529580873617,3,INC,10,10
1529580873644,0,DEC,8,9
1529580873644,4,INC,0,9
1529580873669,1,INC,9,8
1529580873693,2,DEC,8,2
1529580873700,0,INC,4,9
1529580873710,3,INC,10,10
1529580873717,4,DEC,10,9
1529580873748,1,DEC,6,8
1529580873782,2,DEC,10,10
1529580873784,0,DEC,9,10
1529580873795,4,INC,8,6
1529580873813,1,DEC,9,7
1529580873868,2,DEC,9,10
1529580873877,0,INC,9,9
1529580873878,1,INC,7,7
1529580873961,2,INC,9,9
1529580873961,0,INC,7,9
1529580874027,2,DEC,10,7
